APPENDIX B

473 file names and associated URLs for fake Flash updates found in AutoFocus:

(Read: Date -- File name -- URL)

2018-07-16 -- AdobeFlashPlayer__607dcgxqefnvr67f.exe -- 18[.]210[.]126[.]203/flashplayer_down.php?clickid=607dcgxqefnvr67f
2018-07-16 -- AdobeFlashPlayer__805a8q58p2tdz6a1.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=805a8q58p2tdz6a1
2018-07-16 -- AdobeFlashPlayer__aa8a2h9oca88n11e.exe -- 18[.]206[.]37[.]67/flashplayer_down.php?clickid=aa8a2h9oca88n11e
2018-07-17 -- AdobeFlashPlayer__bdcaeq54p8wwj782.exe -- 54[.]165[.]195[.]115/flashplayer_down.php?clickid=bdcaeq54p8wwj782
2018-07-17 -- AdobeFlashPlayer__e942bfnci46wj9f8.exe -- 34[.]193[.]210[.]148/flashplayer_down.php?clickid=e942bfnci46wj9f8
2018-07-18 -- AdobeFlashPlayer__475e7qda6k2dz0b7.exe -- ec2-34-230-194-68[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=475e7qda6k2dz0b7
2018-07-18 -- AdobeFlashPlayer__78a69hepm4pdz4e3.exe -- ec2-34-203-73-119[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=78a69hepm4pdz4e3
2018-07-18 -- AdobeFlashPlayer__a74eb16e8a33yb8f.exe -- ec2-18-211-167-143[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=a74eb16e8a33yb8f
2018-07-18 -- AdobeFlashPlayer__a91b0heb4ktvr784.exe -- ec2-34-203-73-119[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=a91b0heb4ktvr784
2018-07-18 -- AdobeFlashPlayer__cd652heg6xo3y11c.exe -- ec2-34-203-73-119[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=cd652heg6xo3y11c
2018-07-18 -- AdobeFlashPlayer__cf5eacia6m7fe903.exe -- ec2-18-211-167-143[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=cf5eacia6m7fe903
2018-07-18 -- AdobeFlashPlayer__dc174ojmywf6o7aa.exe -- ec2-34-203-73-119[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=dc174ojmywf6o7aa
2018-07-19 -- AdobeFlashPlayer__0e1f4u3q5fv6o447.exe -- ec2-34-232-242-61[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=0e1f4u3q5fv6o447
2018-07-19 -- AdobeFlashPlayer__8b32agmbga7i495a.exe -- ec2-18-208-233-39[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=8b32agmbga7i495a
2018-07-19 -- AdobeFlashPlayer__97971lpa9ho6o23e.exe -- ec2-23-22-193-162[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=97971lpa9ho6o23e
2018-07-19 -- AdobeFlashPlayer__9eb1cy9sc3zwj3de.exe -- ec2-52-204-100-55[.]compute-1[.]amazonaws[.]com/flashplayer_down.php?clickid=9eb1cy9sc3zwj3de
